route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/87__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/2__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/88__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725784899]/55__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/89__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/4__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/90__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/5__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/91__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/6__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/92__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/7__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/93__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/8__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/94__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/9__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/95__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/10__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/96__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/11__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/97__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/12__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/98__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/13__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/99__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/14__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
